RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
41,Spanish,PAPER,Mexico,1964,2007,98001,Spanish,Well,traffic, Other, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship,Newspapers in English,Ethinic radio,Radio in English, , , , , ,Somewhat easy, , , , , , , , , , , , , ,No, , ,Somewhat likely,Sometimes, ,Eighth grade or below,We rent our home, ,5,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,Symposio de mujeres latinas
42,English,PAPER,Ukraine,1975,1999,98001,Ukraine,Very well,"""Feeling cultural acceptance, having access to services""",Discrimination/Social justice/Equality, , ,I can make a moderate difference,I am very interested,Internet,Friends and family, , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person", , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Graduate or professional degree,We own our home, ,4,Male, , ,I usually drive the car that I own, ,LCSNW
43,English,PAPER,Ukraine,1956,2003,98001,Ukraine,Not well,na, , , , ,I am somewhat interested,Television in English, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,I don't remember, , ,Very likely,Sometimes, ,College degree,We own our home, ,4,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Highline Community College
44,English,PAPER,Ukraine,1996,2014,98001,Russian, ,I don't know, Don’t know, , ,I can make a small difference,I am somewhat interested,Internet,Friends and family,Television in English,My community organization(s)/service provider(s), , , , , , , , , , ,It is difficult,I volunterred for an election activity such as a phone bank or registering people to vote, , , , , , , , ,I am not currently eligible to register to vote, ,I am not interested in voting, ,No,I was not registered, ,I don't know, , ,Graduate or professional degree,We rent our home, ,7,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Highline Community College
45,English,PAPER,Ukraine,1996,2016,98001,English,Not well,NA, , , , , ,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , , , , ,College degree,We own our home, ,2,Female, ,I don't know, , ,Highline Community College
46,English,PAPER,Phillipines,1990,2002,98001,English,Very well,NA, , , ,I can make a moderate difference,I am not interested,Internet,Friends and family,Newspapers in English,Radio in English, , , , , , , , , , ,Very easy, , , , , , , , , ,I am eligible to register but have not registered yet, ,I am not interested in voting, ,No,Not US citizen/Ineligible/Greencard holder,Not eligible to vote,I don't know,Never, ,Some college,We own our home, , , , ,"$24,301 to $40,890", , ,Filipino Community and Bayan
47,Korean,WEB,China,1967,2003,98001,Korean,Not well,Just do what you like. I don't have any expectation of the government., Don’t know, , ,I can make no difference at all,I am not interested,Internet, , , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue, , , , , , , , ,I am eligible to register but have not registered yet, ,I am not interested in voting, , , , ,Somewhat likely,Never,No,College degree,We own our home, ,4,Female, ,"$40,891 to $64,999",I usually walk, ,Other
48,Korean,WEB,Korea,1965,1992,98001,Korean,Well,It would be nice if they chose Koreans for some public official positions., Lack of representation/Leadership in community/Ability to vote, , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers, , , , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Rarely,Yes,High school graduate or GED,We own our home, ,5,Female, ,"$65,000 to $99,999",I usually drive the car that I own,I own a car. That question is wrong,Other
49,Korean,WEB,Korea,1947,1981,98001,Korean,Well,Encourage Immigrants join the community activity. That means explain more on their own language., Community centers/Community development, , ,I can make no difference at all,I am very interested,Internet,Television in English, , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We own our home, ,2,Female, ,"$40,891 to $64,999","I usually use shared transportation, such as a carpool", ,Other
50,English,WEB,Fiji Islands,1993,1999,98001,English,Very well,Securing work and housing.,Jobs/Job search/More jobs available, , ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am registered to vote, , , ,No,I was not registered, ,Very likely,Never,Yes,College degree,We own our home, ,4,Female, ,I don't know,"I own a car, but I usually take public transportation", ,City of Seattle (online/ email)
51,English,PAPER,Kenya,1989,2000,98001,Swahili,Not well,Health care,Access to health care/Affordable health care, , ,I can make a small difference,I am somewhat interested,Friends and family,My place of worship, , , , , , , , , , , , ,It is difficult,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person", , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Somewhat likely,Never, ,Some college,We live with relatives or friends, ,3,Male, ,"$11,880 or less",I usually drive the car that I own, , 
52,English,PAPER,Kenya,1988,2000,98001,Swahili,Not well,Health Care,Access to health care/Affordable health care, , ,I can make a big difference,I am somewhat interested,Ethnic Television,Ethnic newspapers, , , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I forgot about the election, ,Somewhat likely,Sometimes, ,Some college,We live with relatives or friends, ,5,Male, ,"$11,880 or less","I own a car, but I usually take public transportation", , 
53,English,PAPER,Ghana,1986,1999,98001,Swahili,Not at all,Job placement,Jobs/Job search/More jobs available, , ,I can make a small difference,I am not interested,Television in English,Newspapers in English, , , , , , , , , , , , ,Somewhat easy,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person", , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Not likely at all,Never, ,Eighth grade or below,We live with relatives or friends, , ,Female, ,I don't know,I usually drive the car that I own, , 
54,English,PAPER,Somalia,1982,2002,98001,Somalian, ,Job payment,Jobs/Job search/More jobs available, , , , ,Ethnic Television, , , , , , , , , , , , , ,It is difficult,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , ,I am eligible to register but have not registered yet, ,Voting is a waste of time/it doesn't make a difference, ,No,I was not interested in the election, ,Not likely at all,Often, ,Eighth grade or below,Other:,Blank, ,Male, ,I don't know,"I don't own a car, so I take public transportation", , 
210,Chinese,PAPER,China,1940,2010,98006,Chinese,Not well,NA, , , , ,I am somewhat interested,Friends and family,My place of worship, , , , , , , , , , , , ,Somewhat easy, , , , , , , , , , , , , , ,Not US citizen/Ineligible/Greencard holder,I' am not U.S. Citizen., , , , ,We rent our home,Apartment, ,Female, , ,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
55,English,PAPER,Ethiopia,1978,1999,98001,Oromo,Not at all,Housing,Affordable housing/Low income housing, , ,I can make a big difference, ,Ethnic Television,Ethnic newspapers, , , , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city, , , , , , , , ,I am eligible to register but have not registered yet, ,Voter registration information is not available in my preferred language, ,No,I forgot about the election, ,Not likely at all,Never, ,High school graduate or GED,We own our home, ,5,Female, ,I don't know,"I usually use shared transportation, such as a carpool", , 
56,English,PAPER,Kenya,1980,2008,98001,Swahili,Not at all,Community safety, Improve safety/Reduce crime, , ,I can make a moderate difference,I am somewhat interested,Ethnic Television,Ethnic newspapers,Ethinic radio, , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood, , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not interested in the election, ,I don't know,Never, ,Some high school,We live with relatives or friends, ,2,Female, ,"$11,880 or less","I don't own a car, so I take public transportation", , 
57,English,PAPER,Kenya,1982,2008,98001,Swahili,Not well,Police brutality, Police brutality, , ,I can make a big difference,I am not interested,Friends and family,My union or work place, , , , , , , , , , , , ,It is difficult,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person", , , , , , ,I am eligible to register but have not registered yet, ,Voting is a waste of time/it doesn't make a difference, ,No,Voting materials are not available in my preferred language, ,I don't know,Rarely, ,High school graduate or GED,We live with relatives or friends, ,5,Female, ,I don't know,"I usually use shared transportation, such as a carpool", , 
58,English,PAPER,Ghana,1982,1990,98001,Swahili,Not well,NA, , , ,I can make a moderate difference,I am not interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,I have not found any,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person", , , , , , , ,I am not currently eligible to register to vote, ,I am too busy, ,I don't remember,I was sick, , ,Rarely, ,Some college,We rent our home, ,5,Female, ,"$11,880 or less","I own a car, but I usually take public transportation", , 
59,English,PAPER,Somalia,1970,2008,98001,Somalian,Not at all,Job fair,Jobs/Job search/More jobs available, , , ,I am not interested,Ethnic Television,Ethnic newspapers,Ethinic radio, , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood, , , , , , ,I am eligible to register but have not registered yet, ,I am worried that voting is not safe, ,I don't remember,I forgot about the election, , ,Often, ,Some high school,We live with relatives or friends, ,2,Male, ,"$11,880 or less","I don't own a car, so I take public transportation", , 
60,Vietnamese,PAPER,Vietnam,1939,2006,98001, ,Not well,NA, , , ,I can make no difference at all,I am very interested,Ethnic Television, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , ,None,We rent our home, , ,Female, , ,"I don't own a car, so I take public transportation", , 
61,Spanish,PAPER,Mexico,1980,1999,98002,Spanish,Well,Education security, Education/General educational resources, , ,I can make a big difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , , , , , , , , ,Very likely, , ,Eighth grade or below,We own our home, ,4,Male, ,"$65,000 to $99,999",I usually drive the car that I own, ,Seamar
62,Spanish,PAPER,Mexico,1948,2006,98002,Spanish,Not at all,na, , , ,I can make a big difference,I am very interested,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , , ,I have not found any,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am not currently eligible to register to vote, , , , , , ,Not likely at all, , ,None,We own our home, ,2,Male, , ,I usually drive the car that I own, ,Seamar
63,Vietnamese,PAPER,Vietnam,1946,1998,98002,Vietnamese,Not well,na, , , , ,I am very interested,Ethnic Television,Friends and family, , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Rarely, ,Some high school,We rent our home, ,9, , ,"$11,881 to $24,300", , ,REWA Tukwila Office
64,Vietnamese,PAPER,Vietnam,1945,1998,98002,Vietnamese,Not well,na, , , ,I can make a big difference,I am very interested,Ethnic Television,Friends and family, , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Not likely at all,Sometimes, ,Eighth grade or below,We rent our home, ,9, , ,"$11,881 to $24,300", , ,REWA Tukwila Office
